0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:32 +0700] "GET /ManageStaffVinMart/starter-kit.html HTTP/1.1" 200 21243
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:34 +0700] "GET /ManageStaffVinMart/pages-profile.html HTTP/1.1" 200 33955
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:36 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 34605
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:42 +0700] "POST /ManageStaffVinMart/manageaccount/add-account.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:42 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 34638
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:47 +0700] "GET /ManageStaffVinMart/home.html HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:51 +0700] "POST /ManageStaffVinMart/home.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:51 +0700] "GET /ManageStaffVinMart/home.html HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:57 +0700] "POST /ManageStaffVinMart/home.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:46:57 +0700] "GET /ManageStaffVinMart/home.html HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:03 +0700] "POST /ManageStaffVinMart/home.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:03 +0700] "GET /ManageStaffVinMart/homepage1.html HTTP/1.1" 200 20451
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:05 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 27209
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:07 +0700] "GET /ManageStaffVinMart/thongbao.html HTTP/1.1" 200 28170
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:09 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 27209
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:14 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:48 +0700] "GET /ManageStaffVinMart/pages-profile.html HTTP/1.1" 200 33955
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:47:48 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:15 +0700] "GET /ManageStaffVinMart/manageaccount.html HTTP/1.1" 200 34595
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:17 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:19 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 27209
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:23 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:27 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:41 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 27209
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:46 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:50 +0700] "GET /ManageStaffVinMart/table-basic.html HTTP/1.1" 200 27209
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:48:53 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:49:22 +0700] "GET /ManageStaffVinMart/form-basic.html HTTP/1.1" 200 28761
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:49:26 +0700] "GET /ManageStaffVinMart/resources/resources2/dist/css/icons/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:50:00 +0700] "GET /ManageStaffVinMart/doimatkhau.html HTTP/1.1" 200 22271
0:0:0:0:0:0:0:1 - - [09/Jun/2023:11:50:10 +0700] "GET /ManageStaffVinMart/home.html HTTP/1.1" 200 3611
